date,hour,depth,value,variable
2020-08-26,NA,5.0,18.807310208333334,temperature
2020-08-26,NA,6.0,14.767464270833333,temperature
2020-08-26,NA,7.0,12.735481701388888,temperature
2020-08-26,NA,8.0,11.350573229166667,temperature
2020-08-27,NA,1.0,26.97299472222222,temperature
2020-08-27,NA,2.0,26.853057430555555,temperature
2020-08-27,NA,3.0,25.863347291666667,temperature
2020-08-27,NA,4.0,24.092838819444445,temperature
2020-08-27,NA,5.0,18.96182236111111,temperature
2020-08-27,NA,6.0,14.808885347222223,temperature
2020-08-27,NA,7.0,12.74751875,temperature
2020-08-27,NA,8.0,11.396524166666667,temperature
2020-08-28,NA,1.0,26.968794375,temperature
2020-08-28,NA,2.0,26.341074305555555,temperature
2020-08-28,NA,3.0,25.814248680555554,temperature
2020-08-28,NA,4.0,24.217463125,temperature
2020-08-28,NA,5.0,18.892565069444444,temperature
2020-08-28,NA,6.0,14.843022708333333,temperature
2020-08-28,NA,7.0,12.76307763888889,temperature
2020-08-28,NA,8.0,11.443322361111111,temperature
2020-08-29,NA,1.0,26.407860347222222,temperature
2020-08-29,NA,2.0,26.396009166666666,temperature
2020-08-29,NA,3.0,26.230159444444443,temperature
2020-08-29,NA,4.0,24.983440833333333,temperature
2020-08-29,NA,5.0,19.045072916666665,temperature
2020-08-29,NA,6.0,14.845693402777778,temperature
2020-08-29,NA,7.0,12.789676666666667,temperature
2020-08-29,NA,8.0,11.444289166666668,temperature
2020-08-30,NA,1.0,26.459457222222223,temperature
2020-08-30,NA,2.0,26.086033819444445,temperature
2020-08-30,NA,3.0,25.682115625,temperature
2020-08-30,NA,4.0,24.52412875,temperature
2020-08-30,NA,5.0,19.158168472222222,temperature
2020-08-30,NA,6.0,14.874803333333334,temperature
2020-08-30,NA,7.0,12.828101111111112,temperature
2020-08-30,NA,8.0,11.461236388888889,temperature
2020-08-31,NA,1.0,25.096440625,temperature
2020-08-31,NA,2.0,25.08598611111111,temperature
2020-08-31,NA,3.0,25.050307708333335,temperature
2020-08-31,NA,4.0,24.22685638888889,temperature
2020-08-31,NA,5.0,19.110276180555555,temperature
2020-08-31,NA,6.0,14.981312847222222,temperature
2020-08-31,NA,7.0,12.81712875,temperature
2020-08-31,NA,8.0,11.445970763888889,temperature
2020-09-01,NA,1.0,24.511360763888888,temperature
2020-09-01,NA,2.0,24.470775972222224,temperature
2020-09-01,NA,3.0,24.42561263888889,temperature
2020-09-01,NA,4.0,23.922575625,temperature
2020-09-01,NA,5.0,19.245687291666666,temperature
2020-09-01,NA,6.0,14.982400208333333,temperature
2020-09-01,NA,7.0,12.813733541666666,temperature
2020-09-01,NA,8.0,11.470564652777778,temperature
2020-09-02,NA,1.0,26.44152111111111,temperature
2020-09-02,NA,2.0,25.141266458333334,temperature
2020-09-02,NA,3.0,24.41886347222222,temperature
2020-09-02,NA,4.0,23.810614166666667,temperature
2020-09-02,NA,5.0,19.282994652777777,temperature
2020-09-02,NA,6.0,15.02551326388889,temperature
2020-09-02,NA,7.0,12.803145,temperature
2020-09-02,NA,8.0,11.43740326388889,temperature
2020-09-03,NA,1.0,26.66678465277778,temperature
2020-09-03,NA,2.0,26.05554798611111,temperature
2020-09-03,NA,3.0,24.670119097222223,temperature
2020-09-03,NA,4.0,23.784947638888887,temperature
2020-09-03,NA,5.0,19.344495069444445,temperature
2020-09-03,NA,6.0,15.10423375,temperature
2020-09-03,NA,7.0,12.882799305555556,temperature
2020-09-03,NA,8.0,11.46835201388889,temperature
2020-09-04,NA,1.0,26.467408194444445,temperature
2020-09-04,NA,2.0,26.17792229166667,temperature
2020-09-04,NA,3.0,25.316720833333335,temperature
2020-09-04,NA,4.0,23.842266666666667,temperature
2020-09-04,NA,5.0,19.36461472222222,temperature
2020-09-04,NA,6.0,15.139784930555555,temperature
2020-09-04,NA,7.0,12.858524027777777,temperature
2020-09-04,NA,8.0,11.489423125,temperature
2020-09-05,NA,1.0,25.760183819444446,temperature
2020-09-05,NA,2.0,25.30530597222222,temperature
2020-09-05,NA,3.0,24.766766875,temperature
2020-09-05,NA,4.0,23.813988194444445,temperature
2020-09-05,NA,5.0,19.52698701388889,temperature
2020-09-05,NA,6.0,15.100327638888889,temperature
2020-09-05,NA,7.0,12.878937291666666,temperature
2020-09-05,NA,8.0,11.483736180555555,temperature
2020-09-06,NA,1.0,25.076905416666666,temperature
2020-09-06,NA,2.0,24.7444225,temperature
2020-09-06,NA,3.0,24.400686597222222,temperature
2020-09-06,NA,4.0,23.81245722222222,temperature
2020-09-06,NA,5.0,19.509414166666666,temperature
2020-09-06,NA,6.0,15.16247701388889,temperature
2020-09-06,NA,7.0,12.890950694444445,temperature
2020-09-06,NA,8.0,11.492894583333333,temperature
2020-09-07,NA,1.0,24.951903402777777,temperature
2020-09-07,NA,2.0,24.636781180555555,temperature
2020-09-07,NA,3.0,24.26562263888889,temperature
2020-09-07,NA,4.0,23.64643236111111,temperature
2020-09-07,NA,5.0,19.536583125,temperature
2020-09-07,NA,6.0,15.23976125,temperature
2020-09-07,NA,7.0,12.912710069444444,temperature
2020-09-07,NA,8.0,11.471449791666666,temperature
2020-09-08,NA,1.0,24.94320201388889,temperature
2020-09-08,NA,2.0,24.649176597222223,temperature
2020-09-08,NA,3.0,24.267954097222223,temperature
2020-09-08,NA,4.0,23.553968055555554,temperature
2020-09-08,NA,5.0,19.709151180555555,temperature
2020-09-08,NA,6.0,15.235528680555555,temperature
2020-09-08,NA,7.0,12.935650763888889,temperature
2020-09-08,NA,8.0,11.514145277777779,temperature
2020-09-09,NA,1.0,24.774981875,temperature
2020-09-09,NA,2.0,24.620601944444445,temperature
2020-09-09,NA,3.0,24.415874097222222,temperature
2020-09-09,NA,4.0,23.58565375,temperature
2020-09-09,NA,5.0,19.717487847222223,temperature
2020-09-09,NA,6.0,15.24008763888889,temperature
2020-09-09,NA,7.0,12.88414611111111,temperature
2020-09-09,NA,8.0,11.496356458333333,temperature
2020-09-10,NA,1.0,25.725981736111112,temperature
2020-09-10,NA,2.0,24.94151875,temperature
2020-09-10,NA,3.0,24.369661666666666,temperature
2020-09-10,NA,4.0,23.534064583333333,temperature
2020-09-10,NA,5.0,19.6954725,temperature
2020-09-10,NA,6.0,15.270714722222221,temperature
2020-09-10,NA,7.0,12.928808819444445,temperature
2020-09-10,NA,8.0,11.485652291666666,temperature
2020-09-11,NA,1.0,25.29622826388889,temperature
2020-09-11,NA,2.0,24.886341875,temperature
2020-09-11,NA,3.0,24.333879930555554,temperature
2020-09-11,NA,4.0,23.595277708333334,temperature
2020-09-11,NA,5.0,19.619655555555557,temperature
2020-09-11,NA,6.0,15.342497013888888,temperature
2020-09-11,NA,7.0,12.93668798611111,temperature
2020-09-11,NA,8.0,11.4741975,temperature
2020-09-12,NA,1.0,23.981749027777777,temperature
2020-09-12,NA,2.0,23.949147569444445,temperature
2020-09-12,NA,3.0,23.874713472222222,temperature
2020-09-12,NA,4.0,23.291950694444445,temperature
2020-09-12,NA,5.0,19.76461326388889,temperature
2020-09-12,NA,6.0,15.327953194444444,temperature
2020-09-12,NA,7.0,12.966622708333334,temperature
2020-09-12,NA,8.0,11.495811458333334,temperature
2020-09-13,NA,1.0,24.539847986111113,temperature
2020-09-13,NA,2.0,23.910416944444446,temperature
2020-09-13,NA,3.0,23.730261249999998,temperature
2020-09-13,NA,4.0,23.453711041666665,temperature
2020-09-13,NA,5.0,19.715262777777777,temperature
2020-09-13,NA,6.0,15.387485277777778,temperature
2020-09-13,NA,7.0,12.93325798611111,temperature
2020-09-13,NA,8.0,11.52979513888889,temperature
2020-09-14,NA,1.0,24.597281111111112,temperature
2020-09-14,NA,2.0,24.346348055555556,temperature
2020-09-14,NA,3.0,23.895650347222222,temperature
2020-09-14,NA,4.0,23.364831111111112,temperature
2020-09-14,NA,5.0,19.88823340277778,temperature
2020-09-14,NA,6.0,15.319866180555556,temperature
2020-09-14,NA,7.0,12.973712013888889,temperature
2020-09-14,NA,8.0,11.536106944444445,temperature
2020-09-15,NA,1.0,23.484538611111113,temperature
2020-09-15,NA,2.0,23.394930555555558,temperature
2020-09-15,NA,3.0,23.325589444444443,temperature
2020-09-15,NA,4.0,23.109743472222224,temperature
2020-09-15,NA,5.0,19.77945104166667,temperature
2020-09-15,NA,6.0,15.503377361111111,temperature
2020-09-15,NA,7.0,12.995457152777778,temperature
2020-09-15,NA,8.0,11.512521527777778,temperature
2020-09-16,NA,1.0,22.481572826086957,temperature
2020-09-16,NA,2.0,22.41433355072464,temperature
2020-09-16,NA,3.0,22.37853742753623,temperature
2020-09-16,NA,4.0,22.256771449275362,temperature
2020-09-16,NA,5.0,20.124396195652174,temperature
2020-09-16,NA,6.0,15.453136920289856,temperature
2020-09-16,NA,7.0,12.97358079710145,temperature
2020-09-16,NA,8.0,11.566815579710145,temperature
2020-09-17,NA,1.0,21.779269375,temperature
2020-09-17,NA,2.0,21.774935625,temperature
2020-09-17,NA,3.0,21.774356944444445,temperature
2020-09-17,NA,4.0,21.730263333333333,temperature
2020-09-17,NA,5.0,20.308010069444443,temperature
2020-09-17,NA,6.0,15.503248125,temperature
2020-09-17,NA,7.0,13.00295951388889,temperature
2020-09-17,NA,8.0,11.51316138888889,temperature
2020-09-18,NA,1.0,21.99974746031746,temperature
2020-09-18,NA,2.0,21.983931706349207,temperature
2020-09-18,NA,3.0,21.83180876984127,temperature
2020-09-18,NA,4.0,21.446900992063494,temperature
2020-09-18,NA,5.0,20.28106849206349,temperature
2020-09-18,NA,6.0,15.586739682539683,temperature
2020-09-18,NA,7.0,12.970385238095238,temperature
2020-09-18,NA,8.0,11.521898492063492,temperature
2020-09-19,NA,1.0,21.15731701388889,temperature
2020-09-19,NA,2.0,20.991769583333333,temperature
2020-09-19,NA,3.0,20.784428819444443,temperature
2020-09-19,NA,4.0,20.639879097222224,temperature
2020-09-19,NA,5.0,20.015260416666667,temperature
2020-09-19,NA,6.0,15.550931458333334,temperature
2020-09-19,NA,7.0,13.051956180555555,temperature
2020-09-19,NA,8.0,11.526936666666668,temperature
2020-09-20,NA,1.0,20.258278636363638,temperature
2020-09-20,NA,2.0,20.116533333333333,temperature
2020-09-20,NA,3.0,20.054844318181818,temperature
2020-09-20,NA,4.0,19.941344393939396,temperature
2020-09-20,NA,5.0,19.489074242424245,temperature
2020-09-20,NA,6.0,15.75865606060606,temperature
2020-09-20,NA,7.0,13.006549696969698,temperature
2020-09-20,NA,8.0,11.532399015151515,temperature
2020-09-21,NA,1.0,19.780373095238094,temperature
2020-09-21,NA,2.0,19.631777380952382,temperature
2020-09-21,NA,3.0,19.563361587301586,temperature
2020-09-21,NA,4.0,19.457832738095238,temperature
2020-09-21,NA,5.0,19.052375753968256,temperature
2020-09-21,NA,6.0,15.90099880952381,temperature
2020-09-21,NA,7.0,13.074149087301588,temperature
2020-09-21,NA,8.0,11.52335380952381,temperature
2020-09-22,NA,1.0,19.938626111111112,temperature
2020-09-22,NA,2.0,19.679443958333334,temperature
2020-09-22,NA,3.0,19.452094305555555,temperature
2020-09-22,NA,4.0,19.25563861111111,temperature
2020-09-22,NA,5.0,18.989740138888887,temperature
2020-09-22,NA,6.0,16.263588680555557,temperature
2020-09-22,NA,7.0,13.125242152777778,temperature
2020-09-22,NA,8.0,11.519074722222221,temperature
2020-09-23,NA,1.0,20.321104652777777,temperature
2020-09-23,NA,2.0,19.531970138888887,temperature
2020-09-23,NA,3.0,19.007940208333334,temperature
2020-09-23,NA,4.0,18.83018854166667,temperature
2020-09-23,NA,5.0,18.568114375,temperature
2020-09-23,NA,6.0,16.402169375,temperature
2020-09-23,NA,7.0,13.093333194444444,temperature
2020-09-23,NA,8.0,11.565285555555556,temperature
2020-09-24,NA,1.0,19.411679583333335,temperature
2020-09-24,NA,2.0,19.236205138888888,temperature
2020-09-24,NA,3.0,19.021699652777777,temperature
2020-09-24,NA,4.0,18.879745,temperature
2020-09-24,NA,5.0,18.517039583333332,temperature
